Facies,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,Predicted_PE
7,B5 LM,KIMZEY A,3083.0,69.128,0.464,3.632,15.722,,2,0.426,3.9397100000000034
7,B5 LM,KIMZEY A,3083.5,68.031,0.448,4.402,14.677,,2,0.404,4.040110000000003
7,B5 LM,KIMZEY A,3084.0,67.564,0.519,4.621,13.9615,,2,0.383,3.34192
7,B5 LM,KIMZEY A,3084.5,67.538,0.573,5.337,13.0535,,2,0.362,3.4433100000000003
7,B5 LM,KIMZEY A,3085.0,67.899,0.639,5.85,12.577,,2,0.34,3.5104
7,B5 LM,KIMZEY A,3085.5,69.154,0.595,6.013,11.9615,,2,0.319,3.510190000000001
5,B5 LM,KIMZEY A,3086.0,79.88,0.75,7.373,10.4955,,2,0.298,4.031199999999999
5,B5 LM,KIMZEY A,3086.5,86.869,0.857,5.832,8.349,,2,0.277,4.08345
5,B5 LM,KIMZEY A,3087.0,110.942,0.933,5.612,7.139,,2,0.255,4.407059999999999
5,B5 LM,KIMZEY A,3087.5,121.438,0.988,6.933,5.8185,,2,0.234,4.497299999999998
5,B5 LM,KIMZEY A,3088.0,136.644,0.982,7.235,5.8595,,2,0.213,4.48647
5,B5 LM,KIMZEY A,3088.5,146.732,0.933,5.887,7.1665,,2,0.191,4.421309999999999
5,B5 LM,KIMZEY A,3089.0,140.154,0.748,12.6,8.597,,2,0.149,4.33831
5,B5 LM,KIMZEY A,3089.5,125.603,0.824,12.214,9.835,,2,0.128,4.190020000000001
5,B5 LM,KIMZEY A,3090.0,99.08,0.868,10.674,10.055,,2,0.106,4.180160000000002
5,B5 LM,KIMZEY A,3090.5,84.029,0.906,7.923,9.5595,,2,0.085,4.063799999999999
5,B5 LM,KIMZEY A,3091.0,73.656,0.928,7.239,9.6265,,2,0.064,3.9679500000000005
6,B5 LM,KIMZEY A,3091.5,70.578,0.838,7.315,10.3035,,2,0.043,3.8483199999999984
6,B5 LM,KIMZEY A,3092.0,67.444,0.702,7.392,10.981,,2,0.021,3.5977700000000006
3,C SH,KIMZEY A,3092.5,67.301,0.597,9.233,13.0315,,1,1.0,3.5521899999999973
3,C SH,KIMZEY A,3093.0,67.494,0.535,9.574,15.887,,1,0.974,3.4288299999999987
3,C SH,KIMZEY A,3093.5,66.264,0.481,11.334,18.913,,1,0.947,3.594609999999999
3,C SH,KIMZEY A,3094.0,64.66,0.503,13.108,18.026,,1,0.921,3.6280699999999997
3,C SH,KIMZEY A,3094.5,64.211,0.584,16.506,16.217,,1,0.895,3.402879999999998
3,C SH,KIMZEY A,3095.0,63.453,0.595,14.911,16.0795,,1,0.868,3.406539999999999
3,C SH,KIMZEY A,3095.5,62.923,0.606,15.155,15.5175,,1,0.842,3.3912299999999984
3,C SH,KIMZEY A,3096.0,62.614,0.677,14.196,15.282,,1,0.816,3.385619999999997
3,C SH,KIMZEY A,3096.5,62.594,0.732,15.406,14.402,,1,0.789,3.4536899999999964
3,C SH,KIMZEY A,3097.0,62.785,0.791,17.277,13.9615,,1,0.763,3.611179999999998
3,C SH,KIMZEY A,3097.5,65.317,0.742,16.892,14.209,,1,0.711,3.454059999999998
3,C SH,KIMZEY A,3098.0,67.611,0.715,16.286,15.062,,1,0.684,3.4134599999999966
3,C SH,KIMZEY A,3098.5,66.572,0.699,15.516,15.667,,1,0.658,3.401189999999997
3,C SH,KIMZEY A,3099.0,68.829,0.688,15.791,14.9795,,1,0.632,3.4151199999999973
3,C SH,KIMZEY A,3099.5,70.217,0.688,17.221,14.9245,,1,0.605,3.4258299999999973
2,C SH,KIMZEY A,3100.0,68.784,0.65,17.756,14.767,,1,0.579,3.365689999999998
2,C SH,KIMZEY A,3100.5,70.812,0.623,17.973,15.1535,,1,0.553,3.3535799999999982
2,C SH,KIMZEY A,3101.0,70.526,0.612,18.492,15.83,,1,0.526,3.3413099999999987
2,C SH,KIMZEY A,3101.5,64.98,0.612,18.13,16.066,,1,0.5,3.3387099999999994
2,C SH,KIMZEY A,3102.0,67.636,0.672,16.726,16.107,,1,0.474,3.3302699999999983
2,C SH,KIMZEY A,3102.5,64.374,0.764,14.251,15.1995,,1,0.447,3.3870499999999977
2,C SH,KIMZEY A,3103.0,62.215,0.797,12.82,14.264,,1,0.421,3.4352699999999974
2,C SH,KIMZEY A,3103.5,60.814,0.808,13.425,13.5215,,1,0.395,3.6528699999999987
3,C SH,KIMZEY A,3104.0,60.884,0.742,14.361,12.3385,,1,0.368,3.704959999999997
3,C SH,KIMZEY A,3104.5,62.554,0.764,15.24,11.623,,1,0.342,3.693499999999998
2,C SH,KIMZEY A,3105.0,64.784,0.759,16.341,11.0725,,1,0.289,3.6440399999999973
2,C SH,KIMZEY A,3105.5,67.764,0.745,13.645,12.2555,,1,0.263,3.6853799999999954
2,C SH,KIMZEY A,3106.0,70.192,0.721,13.646,12.696,,1,0.237,3.571389999999998
2,C SH,KIMZEY A,3106.5,71.594,0.699,13.535,13.1365,,1,0.211,3.555229999999998
2,C SH,KIMZEY A,3107.0,70.705,0.672,13.425,13.4665,,1,0.184,3.550459999999999
2,C SH,KIMZEY A,3107.5,69.295,0.612,12.159,14.8695,,1,0.158,3.3591800000000016
2,C SH,KIMZEY A,3108.0,67.784,0.589,12.841,15.3755,,1,0.132,3.352210000000001
2,C SH,KIMZEY A,3108.5,65.164,0.563,15.079,15.0605,,1,0.105,3.471850000000001
3,C SH,KIMZEY A,3109.0,62.957,0.53,16.795,14.9175,,1,0.079,3.5757800000000026
3,C SH,KIMZEY A,3109.5,56.582,0.464,19.038,15.227,,1,0.053,3.5368100000000013
5,C LM,KIMZEY A,3110.5,39.6,0.366,19.312,19.161,,2,1.0,3.2044699999999993
5,C LM,KIMZEY A,3111.0,25.306,0.415,18.626,17.303,,2,0.988,3.438299999999998
5,C LM,KIMZEY A,3111.5,22.906,0.546,18.294,14.993,,2,0.976,3.3652799999999985
5,C LM,KIMZEY A,3112.0,19.956,0.715,12.765,11.5405,,2,0.964,3.83131
5,C LM,KIMZEY A,3112.5,16.938,0.982,12.655,8.5145,,2,0.952,3.9565600000000023
5,C LM,KIMZEY A,3113.0,11.761,1.329,7.758,5.956,,2,0.94,4.097140000000001
8,C LM,KIMZEY A,3113.5,10.149,1.456,5.801,6.0225,,2,0.929,5.067259999999999
8,C LM,KIMZEY A,3114.0,11.587,1.336,5.557,6.5065,,2,0.917,5.102199999999999
8,C LM,KIMZEY A,3114.5,13.411,1.233,5.997,6.3415,,2,0.905,4.956009999999999
8,C LM,KIMZEY A,3115.0,16.222,1.162,6.218,6.011,,2,0.893,4.91233
8,C LM,KIMZEY A,3115.5,16.939,1.08,5.392,4.553,,2,0.881,5.155489999999999
6,C LM,KIMZEY A,3116.0,18.085,1.069,5.282,3.398,,2,0.869,4.760410000000004
6,C LM,KIMZEY A,3116.5,19.651,1.178,4.786,3.315,,2,0.857,4.695040000000004
6,C LM,KIMZEY A,3117.0,21.289,1.206,4.786,3.535,,2,0.845,4.669920000000004
6,C LM,KIMZEY A,3117.5,23.054,1.146,5.392,3.508,,2,0.833,4.628740000000004
5,C LM,KIMZEY A,3118.0,24.473,1.282,5.888,3.37,,2,0.821,4.864179999999999
5,C LM,KIMZEY A,3118.5,28.116,1.282,7.208,3.315,,2,0.81,4.609439999999996
5,C LM,KIMZEY A,3119.0,31.275,1.129,8.363,3.6175,,2,0.798,4.149589999999996
6,C LM,KIMZEY A,3119.5,34.781,1.02,9.024,5.103,,2,0.786,4.114099999999997
6,C LM,KIMZEY A,3120.0,39.565,0.966,8.639,7.2765,,2,0.774,3.9646599999999994
6,C LM,KIMZEY A,3120.5,40.913,0.95,7.912,7.133,,2,0.762,4.1380599999999985
8,C LM,KIMZEY A,3121.0,41.211,0.95,7.593,6.4785,,2,0.75,4.59301
5,C LM,KIMZEY A,3121.5,39.653,0.966,8.06,5.942,,2,0.738,4.077510000000001
5,C LM,KIMZEY A,3122.0,39.653,0.966,8.06,5.942,,2,0.738,4.077510000000001
6,C LM,KIMZEY A,3122.5,37.346,1.004,6.878,5.956,,2,0.726,4.05027
5,C LM,KIMZEY A,3123.0,34.785,1.097,7.427,4.6905,,2,0.714,4.067809999999997
6,C LM,KIMZEY A,3123.5,35.079,1.191,7.428,3.48,,2,0.702,4.236659999999995
6,C LM,KIMZEY A,3124.0,37.081,1.269,5.612,2.847,,2,0.69,4.8616199999999985
6,C LM,KIMZEY A,3124.5,35.89,1.347,4.432,3.977,,2,0.679,5.1443200000000004
6,C LM,KIMZEY A,3125.0,33.215,1.347,3.742,4.663,,2,0.667,5.0944899999999995
6,C LM,KIMZEY A,3125.5,33.307,1.287,4.787,3.8105,,2,0.655,4.734289999999999
6,C LM,KIMZEY A,3126.0,35.619,1.204,4.842,4.388,,2,0.643,4.517489999999999
5,C LM,KIMZEY A,3126.5,36.917,1.02,4.677,5.6255,,2,0.631,4.529279999999998
6,C LM,KIMZEY A,3127.0,33.366,1.026,5.255,6.3825,,2,0.619,4.35098
6,C LM,KIMZEY A,3127.5,26.31,1.217,4.02,6.233,,2,0.607,4.3155399999999995
6,C LM,KIMZEY A,3128.0,23.061,1.353,2.136,6.501,,2,0.595,4.27972
9,C LM,KIMZEY A,3128.5,20.498,1.505,1.321,6.4785,,2,0.583,5.007410000000003
9,C LM,KIMZEY A,3129.0,19.037,1.451,2.056,7.122,,2,0.571,5.258310000000002
9,C LM,KIMZEY A,3129.5,19.16,1.162,2.586,7.607,,2,0.56,5.366239999999998
9,C LM,KIMZEY A,3130.0,20.461,1.031,2.503,8.6935,,2,0.548,5.0986199999999995
9,C LM,KIMZEY A,3130.5,23.425,0.791,4.017,9.9725,,2,0.536,5.469780000000001
9,C LM,KIMZEY A,3131.0,31.562,0.759,5.805,9.5265,,2,0.524,5.586949999999999
9,C LM,KIMZEY A,3131.5,43.298,0.759,6.603,8.8445,,2,0.512,5.176849999999997
6,C LM,KIMZEY A,3132.0,60.579,0.77,7.675,8.3355,,2,0.5,4.3290999999999995
4,C LM,KIMZEY A,3132.5,65.001,0.737,8.473,9.2295,,2,0.488,4.603250000000004
4,C LM,KIMZEY A,3133.0,65.014,0.677,9.904,12.311,,2,0.476,3.7969699999999973
4,C LM,KIMZEY A,3133.5,61.49,0.688,10.134,12.141,,2,0.464,3.897369999999997
4,C LM,KIMZEY A,3134.0,63.557,0.721,11.019,12.1385,,2,0.452,4.07012
4,C LM,KIMZEY A,3134.5,66.737,0.693,11.581,12.1595,,2,0.44,3.854679999999998
4,C LM,KIMZEY A,3135.0,69.863,0.683,10.454,12.916,,2,0.429,3.8356599999999985
4,C LM,KIMZEY A,3135.5,79.245,0.677,10.619,12.9435,,2,0.417,3.7273699999999974
4,C LM,KIMZEY A,3136.0,86.023,0.688,10.949,11.7335,,2,0.405,3.823019999999998
6,C LM,KIMZEY A,3136.5,101.037,0.732,10.179,12.0085,,2,0.393,4.064450000000003
6,C LM,KIMZEY A,3137.0,153.374,0.748,8.198,13.439,,2,0.381,4.044430000000002
6,C LM,KIMZEY A,3137.5,144.117,0.672,9.188,13.439,,2,0.369,3.759429999999999
4,C LM,KIMZEY A,3138.0,245.36,0.721,9.642,13.927,,2,0.357,4.097130000000002
9,A1 SH,Recruit F9,2902.0,64.21,0.471,10.2,10.935,,2,0.256,5.933929999999999
9,A1 SH,Recruit F9,2902.5,63.82,0.467,11.2,10.655,,2,0.231,5.839299999999998
9,A1 SH,Recruit F9,2903.0,64.74,0.458,15.1,12.705,,2,0.205,5.8106399999999985
9,A1 LM,Recruit F9,2907.0,32.58,0.29,10.3,14.52,,2,1.0,5.853169999999995
9,A1 LM,Recruit F9,2907.5,25.14,0.294,7.1,12.48,,2,0.985,5.701449999999995
9,C LM,Recruit F9,3128.5,20.498,1.505,1.321,6.4785,,2,0.583,5.007410000000003
9,C LM,Recruit F9,3129.0,19.037,1.451,2.056,7.122,,2,0.571,5.258310000000002
9,C LM,Recruit F9,3129.5,19.16,1.162,2.586,7.607,,2,0.56,5.366239999999998
9,C LM,Recruit F9,3130.0,20.461,1.031,2.503,8.6935,,2,0.548,5.0986199999999995
9,C LM,Recruit F9,3130.5,23.425,0.791,4.017,9.9725,,2,0.536,5.469780000000001
9,C LM,Recruit F9,3131.0,31.562,0.759,5.805,9.5265,,2,0.524,5.586949999999999
9,C LM,Recruit F9,3131.5,43.298,0.759,6.603,8.8445,,2,0.512,5.176849999999997
